DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-08-29 11:04:28,34,A,argosLC,unitless
2016-08-29 11:04:28,35,9364,argosErrMaj,meter
2016-08-29 11:04:28,36,214,argosErrMin,meter
2016-08-29 11:04:28,37,76,argosErrOrient,degree
2016-08-29 11:05:58,2,-69.256,longitude,degree
2016-08-29 11:05:58,3,41.447,latitude,degree
2016-08-29 11:05:58,34,A,argosLC,unitless
2016-08-29 11:34:42,2,-69.266,longitude,degree
2016-08-29 11:34:42,3,41.465,latitude,degree
2016-08-29 11:34:42,34,0,argosLC,unitless
2016-08-29 11:34:42,35,36950,argosErrMaj,meter
2016-08-29 11:34:42,36,191,argosErrMin,meter
2016-08-29 11:34:42,37,110,argosErrOrient,degree
2016-08-29 11:34:43,2,-69.266,longitude,degree
2016-08-29 11:34:43,3,41.465,latitude,degree
2016-08-29 11:34:43,34,0,argosLC,unitless
2016-08-29 12:16:28,2,-69.279,longitude,degree
2016-08-29 12:16:28,3,41.45,latitude,degree
2016-08-29 12:16:28,34,B,argosLC,unitless
2016-08-29 12:16:50,2,-69.2792,longitude,degree
2016-08-29 12:16:50,3,41.4505,latitude,degree
2016-08-29 12:16:50,34,B,argosLC,unitless
2016-08-29 12:16:50,35,7199,argosErrMaj,meter
2016-08-29 12:16:50,36,2413,argosErrMin,meter
2016-08-29 12:16:50,37,115,argosErrOrient,degree
2016-08-29 14:09:27,2,-69.2729,longitude,degree
2016-08-29 14:09:27,3,41.4329,latitude,degree
2016-08-29 14:09:27,34,B,argosLC,unitless
2016-08-29 14:09:27,35,9867,argosErrMaj,meter
2016-08-29 14:09:27,36,5210,argosErrMin,meter
2016-08-29 14:09:27,37,101,argosErrOrient,degree
2016-08-29 14:57:21,2,-69.2726,longitude,degree
2016-08-29 14:57:21,3,41.433,latitude,degree
2016-08-29 14:57:21,34,B,argosLC,unitless
2016-08-29 14:57:21,35,9828,argosErrMaj,meter
2016-08-29 14:57:21,36,6549,argosErrMin,meter
2016-08-29 14:57:21,37,117,argosErrOrient,degree
2016-08-29 15:44:12,2,-69.2827,longitude,degree
2016-08-29 15:44:12,3,41.4935,latitude,degree
2016-08-29 15:44:12,34,A,argosLC,unitless
2016-08-29 15:44:12,35,5847,argosErrMaj,meter
2016-08-29 15:44:12,36,127,argosErrMin,meter
