DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
196385,196385,MiniPAT,DS,1,0,1,,,01:29:08 17-Feb-2020,NP,,,,,,,,401650000,-135
196385,196385,MiniPAT,DS,10,0,5,59,59,02:16:19 17-Feb-2020,SR,3,20.7675,38.3320,26.1249,63.5421,68,,401677643,-125
196385,196385,MiniPAT,DS,10,0,5,72,59,03:08:58 17-Feb-2020,NP,2,20.7584,38.3305,20.1201,41.0740,68,,401677643,-124
196385,196385,MiniPAT,DS,6,0,5,71,59,03:30:20 17-Feb-2020,NK,1,20.7594,38.3369,12.3335,76.4659,58,,401677644,-131
196385,196385,MiniPAT,DS,9,0,2,66,59,03:55:42 17-Feb-2020,SR,3,20.7533,38.3339,15.8516,15.7632,68,,401677643,-122
196385,196385,MiniPAT,DS,4,0,3,79,60,04:48:54 17-Feb-2020,NP,1,20.7528,38.3404,31.0325,-7.0460,68,,401677645,-132
196385,196385,MiniPAT,DS,10,0,3,66,59,05:09:44 17-Feb-2020,NK,2,20.7426,38.3416,22.8909,28.4927,58,,401677643,-122
196385,196385,MiniPAT,DS,8,0,2,93,59,05:56:00 17-Feb-2020,MA,3,20.7358,38.3378,17.1696,54.7495,56,,401677643,-120
196385,196385,MiniPAT,DS,9,0,3,74,59,06:24:20 17-Feb-2020,MC,2,20.7310,38.3395,15.4834,61.3247,58,,401677643,-120
196385,196385,MiniPAT,DS,6,0,1,119,59,06:41:14 17-Feb-2020,NN,1,20.7327,38.3400,19.9438,41.8187,58,,401677645,-122
196385,196385,MiniPAT,DS,7,0,3,79,59,07:12:09 17-Feb-2020,MB,0,20.7326,38.3122,20.6951,38.4839,56,,401650000,-128
196385,196385,MiniPAT,DS,9,0,4,67,59,07:36:30 17-Feb-2020,MA,3,20.7241,38.3440,27.4374,6.6438,68,,401677643,-122
196385,196385,MiniPAT,DS,11,0,2,60,59,08:02:19 17-Feb-2020,MC,2,20.7211,38.3457,26.1171,13.6088,56,,401677642,-118
196385,196385,MiniPAT,DS,2,0,1,59,59,08:20:19 17-Feb-2020,NN,B,20.7074,38.3645,30.3744,-6.4619,8,,401677643,-131
196385,196385,MiniPAT,DS,10,0,2,66,59,14:24:34 17-Feb-2020,NP,3,20.6818,38.3454,23.0598,48.8606,68,,401650000,-131
196385,196385,MiniPAT,DS,8,0,3,68,59,14:40:27 17-Feb-2020,SR,2,20.6761,38.3403,14.8333,65.3603,66,,401677642,-128
196385,196385,MiniPAT,DS,6,0,0,83,59,16:05:24 17-Feb-2020,NP,2,20.6705,38.3449,11.9873,0.6535,68,,401677645,-130
