DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
196385,196385,0.500000,Transmission,MiniPAT,TATLIMITS,,,,,,,,,,5.000000,8.000000,11.000000,14.000000,17.000000,20.000000,23.000000,26.000000,28.000000,30.000000,32.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,10:00:00 11-Jan-2020,1.000000,2,,,,,9,100,0,0,0,0,0,0,98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 12-Jan-2020,1.000000,1,,,,,9,100,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 13-Jan-2020,1.000000,1,,,,,9,100,0,0,0,0,0,0,81.8,18.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 14-Jan-2020,1.000000,5,,,,,9,100,0,0,0,0,0,0,66.7,33.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 15-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,58.6,41.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 16-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,51.5,48.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 17-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,50.5,49.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 18-Jan-2020,1.000000,4,,,,,9,100,0,0,0,0,0,0,57.6,42.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 20-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,49.5,50.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
