DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
196385,196385,MiniPAT,16:17:07 13-Feb-2020,Argos,1,20.6256,38.4987,1386,12526,153,76,,,,,,
196385,196385,MiniPAT,16:43:34 13-Feb-2020,Argos,2,20.6304,38.5079,452,546,374,12,,,,,,
196385,196385,MiniPAT,16:48:02 13-Feb-2020,Argos,2,20.6306,38.5114,265,485,144,11,,,,,,
196385,196385,MiniPAT,17:00:58 13-Feb-2020,Argos,2,20.6310,38.5141,334,611,182,17,,,,,,
196385,196385,MiniPAT,17:16:24 13-Feb-2020,Argos,1,20.6312,38.5206,635,1474,273,2,,,,,,
196385,196385,MiniPAT,17:58:45 13-Feb-2020,Argos,0,20.6488,38.5306,3823,14274,1023,176,,,,,,
196385,196385,MiniPAT,18:03:15 13-Feb-2020,Argos,1,20.6355,38.5352,558,1497,207,26,,,,,,
196385,196385,MiniPAT,18:29:11 13-Feb-2020,Argos,3,20.6348,38.5429,233,448,121,80,,,,,,
196385,196385,MiniPAT,18:42:09 13-Feb-2020,Argos,3,20.6346,38.5464,205,415,101,81,,,,,,
196385,196385,MiniPAT,18:56:05 13-Feb-2020,Argos,2,20.6330,38.5495,290,946,88,78,,,,,,
196385,196385,MiniPAT,19:39:56 13-Feb-2020,Argos,B,20.6169,38.5516,4007,58324,275,40,,,,,,
196385,196385,MiniPAT,02:05:56 14-Feb-2020,Argos,2,20.5528,38.6620,468,878,249,47,,,,,,
196385,196385,MiniPAT,02:08:25 14-Feb-2020,Argos,3,20.5534,38.6734,219,533,89,44,,,,,,
196385,196385,MiniPAT,03:05:12 14-Feb-2020,Argos,A,20.5371,38.6813,6185,38830,985,15,,,,,,
196385,196385,MiniPAT,03:46:29 14-Feb-2020,Argos,3,20.5250,38.6824,126,208,76,115,,,,,,
196385,196385,MiniPAT,03:49:27 14-Feb-2020,Argos,3,20.5225,38.6761,206,246,172,89,,,,,,
196385,196385,MiniPAT,04:45:43 14-Feb-2020,Argos,1,20.5091,38.6656,991,14642,67,101,,,,,,
196385,196385,MiniPAT,05:18:07 14-Feb-2020,Argos,3,20.4973,38.6780,236,378,147,35,,,,,,
196385,196385,MiniPAT,05:35:02 14-Feb-2020,Argos,2,20.4936,38.6780,339,869,132,170,,,,,,
196385,196385,MiniPAT,05:46:29 14-Feb-2020,Argos,1,20.4813,38.6707,529,1701,164,43,,,,,,
196385,196385,MiniPAT,06:22:51 14-Feb-2020,Argos,A,20.4767,38.6793,1441,8400,247,53,,,,,,
196385,196385,MiniPAT,06:34:18 14-Feb-2020,Argos,2,20.4734,38.6762,302,1220,74,55,,,,,,
196385,196385,MiniPAT,06:58:43 14-Feb-2020,Argos,3,20.4646,38.6796,204,355,117,109,,,,,,
196385,196385,MiniPAT,07:17:06 14-Feb-2020,Argos,3,20.4586,38.6785,177,298,104,111,,,,,,
196385,196385,MiniPAT,07:23:32 14-Feb-2020,Argos,3,20.4558,38.6754,161,537,48,95,,,,,,
196385,196385,MiniPAT,08:12:45 14-Feb-2020,Argos,2,20.4403,38.6656,253,458,139,36,,,,,,
196385,196385,MiniPAT,13:19:25 14-Feb-2020,Argos,2,20.3670,38.5851,483,904,258,173,,,,,,
196385,196385,MiniPAT,14:33:24 14-Feb-2020,Argos,2,20.3698,38.5572,261,348,195,13,,,,,,
196385,196385,MiniPAT,14:59:43 14-Feb-2020,Argos,2,20.3673,38.5530,254,858,75,79,,,,,,
196385,196385,MiniPAT,15:52:15 14-Feb-2020,Argos,3,20.3677,38.5319,176,360,85,66,,,,,,
196385,196385,MiniPAT,16:27:26 14-Feb-2020,Argos,A,20.3790,38.5190,1503,6127,368,15,,,,,,
196385,196385,MiniPAT,16:49:44 14-Feb-2020,Argos,2,20.3664,38.5126,345,696,170,11,,,,,,
196385,196385,MiniPAT,17:33:21 14-Feb-2020,Argos,2,20.3736,38.4967,268,331,216,5,,,,,,
196385,196385,MiniPAT,17:43:16 14-Feb-2020,Argos,1,20.3727,38.4923,714,798,637,116,,,,,,
196385,196385,MiniPAT,18:07:36 14-Feb-2020,Argos,1,20.3760,38.4918,542,3913,75,78,,,,,,
196385,196385,MiniPAT,18:29:58 14-Feb-2020,Argos,2,20.3766,38.4795,270,1008,72,79,,,,,,
196385,196385,MiniPAT,18:34:56 14-Feb-2020,Argos,2,20.3762,38.4738,463,2351,91,76,,,,,,
