DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,MinTemp15,MaxTemp15,%Ox15,Discont15
196385,196385,0.500000,Transmission,MiniPAT,10:00:00 11-Jan-2020,1.00,2,,,, ,8,,0.000000,25.40,25.80,,,24.000000,25.60,25.80,,,72.000000,25.40,25.60,,,112.000000,24.60,25.00,,,144.000000,22.60,22.80,,,152.000000,22.40,22.80,,,184.000000,22.20,22.40,,,232.000000,22.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 13-Jan-2020,1.00,2,,,, ,8,,40.000000,25.80,26.00,,,56.000000,25.40,25.80,,,104.000000,24.60,25.00,,,152.000000,22.40,22.80,,,200.000000,22.00,22.40,,,248.000000,21.80,22.00,,,296.000000,21.80,21.80,,,360.000000,21.80,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 14-Jan-2020,1.00,2,,,, ,8,,40.000000,25.60,25.80,,,72.000000,25.20,25.80,,,136.000000,22.60,23.20,,,200.000000,22.20,22.20,,,272.000000,21.80,22.00,,,392.000000,21.60,21.80,,,432.000000,21.60,21.80,,,496.000000,21.60,21.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 15-Jan-2020,1.00,1,,,, ,8,,32.000000,25.00,25.40,,,72.000000,24.80,25.60,,,160.000000,22.60,22.60,,,256.000000,22.00,22.00,,,392.000000,21.80,21.80,,,424.000000,21.60,21.80,,,544.000000,21.60,21.80,,,632.000000,21.60,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 16-Jan-2020,1.00,3,,,, ,8,,40.000000,25.00,25.00,,,56.000000,24.80,25.00,,,104.000000,24.40,24.80,,,144.000000,22.60,23.00,,,208.000000,22.20,22.40,,,256.000000,22.00,22.00,,,272.000000,21.80,22.00,,,336.000000,21.80,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 17-Jan-2020,1.00,1,,,, ,8,,40.000000,25.40,25.60,,,56.000000,24.80,25.40,,,88.000000,24.60,25.00,,,160.000000,22.60,22.60,,,184.000000,22.40,22.40,,,232.000000,22.00,22.20,,,240.000000,22.00,22.00,,,288.000000,21.80,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 18-Jan-2020,1.00,3,,,, ,8,,48.000000,25.00,25.20,,,64.000000,24.80,25.20,,,96.000000,24.80,25.20,,,128.000000,23.20,24.60,,,160.000000,22.60,22.80,,,192.000000,22.40,22.40,,,224.000000,22.00,22.20,,,272.000000,22.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 19-Jan-2020,1.00,1,,,, ,8,,48.000000,25.60,25.80,,,64.000000,25.20,25.40,,,96.000000,25.00,25.40,,,128.000000,23.20,25.00,,,168.000000,22.60,22.80,,,192.000000,22.40,22.40,,,224.000000,22.20,22.20,,,272.000000,22.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 20-Jan-2020,1.00,3,,,, ,8,,48.000000,25.40,25.60,,,64.000000,25.20,25.60,,,96.000000,24.80,25.60,,,128.000000,23.60,24.60,,,168.000000,22.60,22.80,,,192.000000,22.40,22.60,,,224.000000,22.00,22.40,,,272.000000,22.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,00:00:00 23-Jan-2020,1.00,1,,,, ,8,,24.000000,24.40,24.60,,,40.000000,24.40,25.00,,,72.000000,23.60,24.60,,,136.000000,22.60,22.60,,,144.000000,22.40,22.60,,,192.000000,22.00,22.20,,,216.000000,22.00,22.20,,,264.000000,21.80,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
