DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
196385,196385,MiniPAT,Strong,03-Feb-2020,06:08:47,03-Feb-2020,06:08:48
196385,196385,MiniPAT,Strong,19-Feb-2020,17:10:54,19-Feb-2020,17:10:55
