DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
196385,196385,0.500000,MiniPAT,21:00:00 02-Feb-2020,,,,0.8,24.3,TimeSeries
196385,196385,0.500000,MiniPAT,23:00:00 02-Feb-2020,,,,1.3,24.3,TimeSeries
196385,196385,0.500000,MiniPAT,00:00:00 03-Feb-2020,,,,0.8,24.3,TimeSeries
196385,196385,0.500000,MiniPAT,01:00:00 03-Feb-2020,,,,0.8,24.2,TimeSeries
196385,196385,0.500000,MiniPAT,06:00:00 03-Feb-2020,,,,0.0,24.1,Status
196385,196385,0.500000,MiniPAT,15:00:00 03-Feb-2020,,,,0.0,24.3,Status
196385,196385,0.500000,MiniPAT,00:00:00 04-Feb-2020,,,,0.0,24.1,LightLoc
196385,196385,0.500000,MiniPAT,18:00:00 04-Feb-2020,,,,0.0,24.3,Status
196385,196385,0.500000,MiniPAT,04:00:00 05-Feb-2020,,,,0.0,24.1,LightLoc
196385,196385,0.500000,MiniPAT,06:00:00 05-Feb-2020,,,,0.0,24.1,Status
196385,196385,0.500000,MiniPAT,18:00:00 05-Feb-2020,,,,0.0,24.1,Status
196385,196385,0.500000,MiniPAT,19:00:00 05-Feb-2020,,,,0.0,24.1,Status
196385,196385,0.500000,MiniPAT,04:00:00 06-Feb-2020,,,,0.0,23.9,Status
196385,196385,0.500000,MiniPAT,05:00:00 06-Feb-2020,,,,0.0,23.9,Status
196385,196385,0.500000,MiniPAT,15:00:00 06-Feb-2020,,,,0.0,24.0,Status
196385,196385,0.500000,MiniPAT,08:00:00 07-Feb-2020,,,,0.0,24.0,Status
196385,196385,0.500000,MiniPAT,15:00:00 07-Feb-2020,,,,0.0,24.1,Status
196385,196385,0.500000,MiniPAT,07:00:00 08-Feb-2020,,,,0.0,24.0,Status
196385,196385,0.500000,MiniPAT,08:00:00 08-Feb-2020,,,,0.0,24.0,Status
196385,196385,0.500000,MiniPAT,17:00:00 08-Feb-2020,,,,0.0,23.9,Status
