"; PTT 196385, Serial 19P0534, Run 1 - 0.25&deg; Grid Size @ 06-Mar-2020 01:01"
"; Marine @ 2.0 meters/second, Model Score 49.98"
"; 2 Status Clock Corrections, 22 Twilights, 3 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
,196385,30-Jan-2020 12:00:00,21.975,38.15,None,,,,,,,,
,196385,31-Jan-2020 00:00:00,21.975,38.15,None,,,,,,,31-Jan-2020 04:06:14,31-Jan-2020 15:15:30
,196385,31-Jan-2020 03:26:15,21.975,38.15,Light - Dawn,,,16,1644,,84.7739303190416,,
,196385,31-Jan-2020 06:00:00,21.975,38.15,SST,24.5,24.1599998474121,0,1644,,76.8720884409375,,
,196385,31-Jan-2020 12:00:00,21.975,38.15,None,,,,,,,,
,196385,31-Jan-2020 14:57:30,21.975,38.15,Light - Dusk,,,16,1644,,74.1612425509161,,
,196385,01-Feb-2020 00:00:00,21.95,38.15,None,,,,,,,01-Feb-2020 04:05:51,01-Feb-2020 15:16:10
,196385,01-Feb-2020 12:00:00,21.925,38.125,None,,,,,,,,
,196385,02-Feb-2020 00:00:00,21.9,38.125,None,,,,,,,02-Feb-2020 04:05:31,02-Feb-2020 15:16:58
,196385,02-Feb-2020 03:00:00,21.9,38.125,SST,24,24.2724986076355,0,1644,,56.3348633652541,,
,196385,02-Feb-2020 03:27:30,21.9,38.125,Light - Dawn,,,16,1644,,63.6339717144275,,
,196385,02-Feb-2020 12:00:00,21.9,38.1,None,,,,,,,,
,196385,02-Feb-2020 15:00:00,21.875,38.1,Light - Dusk,,,16,1644,,94.7451305619038,,
,196385,03-Feb-2020 00:00:00,21.875,38.1,None,,,,,,,03-Feb-2020 04:05:12,03-Feb-2020 15:17:44
,196385,03-Feb-2020 01:00:00,21.875,38.1,User,,,,,,60.0379282294566,,
